"재배규모별","경영개황별","항목","단위","1963 년","1964 년","1966 년","1967 년","1968 년","1969 년","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"전국평균","논벼 재배면적","경영개황","㎡","6155","6026","6268","6463","6466","6460","6638","6631","6301","6608","5851","5901","6053","6542","6757","6922","7289","7385","7243","8843","8982","8261","8615","8916","10248","8767","8836","9078","9395","9967","10261","10278","10357","10661","10407","10503","10807","11018","11104","11243","11084","10843","10959","10883","9725.8937790852","11264.10651","11263.94717","11404.481","11483.771","15137.221","15297.685","15794.547","16160.914","16181.915","13854.897","15635.125","15784.582","15818.543","15480.995","15521.73","15294.02",
"전국평균","자작지","경영개황","㎡","5369","5303","5362","5593","5349","5339","5385","5491","5375","5851","5127","5134","5246","5481","5514","5501","5676","5663","5408","6509","6268","5554","5630","5911","6569","5626","5600","5696","5808","5970","5894","5739","5726","5772","5640","5673","5736","5782","5795","6645","6321","5934","5782","5798","5131.6595910572","5615.56209","5565.35799","5532.282","5592.86","6181.809","6249.109","6308.048","6280.712","6331.647","5779.612","6224.054","6285.151","6001.732","5906.042","6305.357","6351.376",
"전국평균","차용지","경영개황","㎡","787","724","906","869","1117","1121","1253","1141","926","757","724","767","807","1061","1243","1421","1613","1722","1835","2334","2714","2707","2985","3005","3679","3141","3236","3382","3587","3997","4367","4539","4631","4889","4767","4830","5071","5236","5309","4598","4764","4906","5177","5085","4594.2341880279","5648.54442","5698.58918","5872.199","5890.911","8955.412","9048.576","9486.5","9880.201","9850.268","8075.285","9411.071","9499.431","9816.811","9574.953","9216.373","8942.644",
"전국평균","주산물 수량","경영개황","㎏","4508","4368","2489.7","2525.5","2383.7","2607.2","2440.6","2779.9","2559.9","2784.4","2697.4","2638.1","3230","4024.3","3575.5","3712.5","2725.6","3878.5","4161.3","5428.7","5769.3","5226.5","5432.4","5398.2","6845.8","5723.3","5535","5625","6016","5787","6541","6352","7293","7671","6968","7220","7460","7900","7262","6886","7758","7379","7505","7044","7024.2566182282","8354.21233","7556.23122","7856.42","7546.478","10680.15","11048.328","11889.784","12098.24","11844.263","10083.286","11140.027","10588.824","11644.205","11137.716","11274.812","10918.231",
"전국평균","주산물 평가액","경영개황","원","55967","65417","73560","87642","102207","123803","143136","205765","231661","269245","386496","465439","676038","922996","974016","1255183","1208190","1882230","2132092","2578921","3017852","2898132","3271247","3708326","5306831","4802475","5006440","5331405","5962775","5995201","6765096","7352566","8985190","9640218","93436197","10191396","11002968","11305106","10521343","10071931","11161374","9278903","9506533","9049548","9585387.815315988","10312121.25125","8957417.43579","10686279.513","11001287.063","15750839.688","15668185.267","15166932.382","13285292.421","15219588.129","15759786.908","17439420.164","18626308.212","19819304.227","17391739.438","18330001.615","16900744.168",
"전국평균","부산물 수량","경영개황","㎏","2862","3128","3289","3529","3453","3290","3265","3634","2412","3366","3382","3267","3687","3952","3888","3843","3869","4340","4258","5427.1","5939.6","5476.7","5639.5","5807.9","6230.4","5265.7","5119","5216","5413","5612","5879","5771","6113","6355","6398","5865","6039","6398","6004","5949","6529","6206","6238","5770","5693.6075133195","6669.36374","5963.95513","6187.224","6003.486","8624.708","9002.766","9460.114","9454.827","9409.987","8372.37","8701.663","8251.842","9442.6","8854.992","9419.451","8729.85",
"전국평균","부산물 평가액","경영개황","원","5461","6656","7110","9045","9533","11379","12884","16623","12453","16392","22239","33986","43645","55769","57393","66014","80248","102130","104826","132290","176531","181241","190231","198867","208892","163622","128734","142741","155562","186459","206154","221086","235468","253251","261196","240486","248693","234291","234375","240075","257566","255586","270459","247529","270467.4095047465","326127.67077","304127.36099","359797.16","354034.11","518636.012","518147.868","531309.809","551120.14","550548.792","564240.924","581315.767","571661.246","653727.851","747901.79","807554.642","731637.768",
"전국평균","평가액","경영개황","원","61429","72073","80670","96687","111740","135182","156020","222388","244114","285637","408735","499425","719683","978765","1031409","1321197","1288438","1984360","2236918","2711211","3194383","3079373","3461478","3907193","5515723","4966097","5135174","5474146","6118337","6181660","6971250","7573652","9220657","9893468","9697393","10431882","11251661","11539397","10755718","10312007","11418940","9534489","9776992","9297077","9855855.2248207346","10638248.92202","9261544.79679","11046076.672","11355321.174","16269475.7","16186333.135","15698242.191","13836412.561","15770136.921","16324027.832","18020735.93","19197969.458","20473032.078","18139641.228","19137556.257","17632381.936",
"0.5ha미만","경지면적","경영개황","㎡","3445","3537","3521","3597","3663","3352","3666","3739","3729","3841","3468","3474","3633","3537","3593","3554","3580","3494","3560","3630","3788","4493","4000","3931","4043","3864","7131","7950","7858","8003","8476","8790","8585","8810","9359","9002","9197","8965","9015","8423","9031","9250","8274","8371","7561.5392670157","9620.35951","9873.55759","9705.121","9837.251","10356.607","10106.822","9822.445","9768.293","10041.114","7012.485","6962.343","7014.919","6915.751","6928.816","6446.923","7319.612",
"0.5ha미만","논","경영개황","㎡","2423","2502","2360","2231","2552","2119","2552","2588","2354","2810","2417","2423","2526","2436","2519","2512","2575","2519","2582","3098","2952","3967","3531","3455","3375","3150","4099","4469","4298","4311","4453","4774","4562","4592","4926","4331","4516","4453","4579","4443","4367","4324","4255","4164","4131.002617801","4072.09773","4173.67276","4035.565","3848.603","4030.971","4109.099","4039.058","3886.833","4175.021","3425.444","3372.674","3416.564","3430.404","3429.998","3427.073","3440.24",
